link,id_apto,precio,cant_habitaciones,longitud,latitud
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-diamante/cali/7653048,7653048,570000,2,-76.50399780273438,3.4210000038146973
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/metropolitano-del-norte/cali/7643885,7643885,950000,3,-76.49236297607422,3.482393503189087
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bretana/cali/7648593,7648593,480000,2,-76.53199768066406,3.440000057220459
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/melendez/cali/7645129,7645129,1100000,3,-76.5478515625,3.3727567195892334
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/norte/cali/7645128,7645128,680000,3,-76.51394653320312,3.4641501903533936
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-ingenio/cali/7644668,7644668,1450000,2,-76.52660369873047,3.382714033126831
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/torres-de-comfandi/cali/7598161,7598161,850000,3,-76.5,3.4779999256134033
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-rita/cali/7532276,7532276,11000000,3,-76.5540771484375,3.4513726234436035
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7655121,7655121,660000,2,-76.51499938964844,3.368000030517578
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ulpiano-lloreda/cali/7643531,7643531,500000,2,-76.49017333984375,3.44223690032959
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-cordoba/cali/7643235,7643235,800000,2,-76.50499725341797,3.4030001163482666
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7529193,7529193,3800000,3,-76.52958679199219,3.354682445526123
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-refugio/cali/7646002,7646002,900000,3,-76.5469970703125,3.4000000953674316
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7632226,7632226,850000,3,-76.51899719238281,3.3450000286102295
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-limonar/cali/7712024,7712024,1900000,3,-76.5445785522461,3.399449110031128
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-isabel/cali/7550885,7550885,2900000,3,-76.55016326904297,3.428690195083618
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-flora/cali/7688514,7688514,1800000,2,-76.5223159790039,3.490323305130005
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/colseguros/cali/7645642,7645642,950000,2,-76.53225708007812,3.427372932434082
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica-/cali/7648161,7648161,900000,2,-76.49443817138672,3.3524727821350098
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/siete-de-agosto/cali/7646183,7646183,600000,2,-76.48668670654297,3.448329210281372
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/altos-de-menga/cali/7647458,7647458,2700000,2,-76.52745056152344,3.4903314113616943
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia/cali/7647102,7647102,2600000,3,-76.54192352294922,3.451979398727417
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/republica-de-israel/cali/7645993,7645993,650000,3,-76.51599884033203,3.4079999923706055
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7645792,7645792,3800000,3,-76.54900360107422,3.444999933242798
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/nueva-floresta/cali/7645346,7645346,650000,2,-76.5,3.441999912261963
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7645668,7645668,3200000,3,-76.540771484375,3.3717520236968994
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7682294,7682294,1650000,3,-76.51599884033203,3.368000030517578
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/buenos-aires/cali/7553464,7553464,1000000,3,-76.54900360107422,3.3919999599456787
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema--hacienda-kachipay/cali/7646837,7646837,1000000,3,-76.50098419189453,3.3520989418029785
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7646372,7646372,900000,2,-76.51506805419922,3.377408266067505
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili-ciudad-melendez/cali/7646791,7646791,1150000,2,-76.51813507080078,3.373234272003174
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/olimpico/cali/7645594,7645594,1200000,3,-76.53241729736328,3.4234859943389893
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/parcelacion-chorro-de-la-plata/cali/7645747,7645747,1700000,2,-76.59577941894531,3.34683895111084
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cambulos/cali/7682475,7682475,900000,3,-76.38999938964844,3.372999906539917
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7646581,7646581,3200000,3,-76.55008697509766,3.4521145820617676
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/villa-del-sur/cali/7645762,7645762,650000,3,-76.51799774169922,3.4110000133514404
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7566355,7566355,3000000,3,-76.54900360107422,3.444999933242798
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-modelo/cali/7283103,7283103,560000,3,-76.53199768066406,3.4519999027252197
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-caney/cali/7646958,7646958,870000,2,-76.5199966430664,3.382999897003174
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7645921,7645921,1200000,3,-76.51899719238281,3.369999885559082
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/colseguros/cali/7646634,7646634,900000,3,-76.5328598022461,3.43180251121521
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/zona-oriente/cali/7645190,7645190,470000,2,-76.46941375732422,3.456130027770996
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/kumanday/cali/7632268,7632268,1200000,3,-76.4944839477539,3.4769153594970703
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/capri/cali/7621305,7621305,1200000,2,-76.54418182373047,3.3926591873168945
